"block","date","time","balance"
"3,750,503","2021/10/08 13:33:16 +02:00","1633692796","20997578.3141 RBTC"
"3,750,200","2021/10/08 10:43:29 +02:00","1633682609","20997608.5004 RBTC"
"3,750,263","2021/10/08 11:19:14 +02:00","1633684754","20997608.3141 RBTC"
"3,749,253","2021/10/08 02:42:30 +02:00","1633653750","20997608.0444 RBTC"
"3,749,173","2021/10/08 02:03:39 +02:00","1633651419","20997628.0444 RBTC"
"3,748,951","2021/10/08 00:14:29 +02:00","1633644869","20997649.0444 RBTC"
"3,745,596","2021/10/06 17:48:40 +02:00","1633535320","20997648.8204 RBTC"
"3,745,638","2021/10/06 18:09:28 +02:00","1633536568","20997649.0354 RBTC"
"3,744,951","2021/10/06 11:52:09 +02:00","1633513929","20997649.0037 RBTC"
"3,744,426","2021/10/06 07:13:06 +02:00","1633497186","20997643.0037 RBTC"
"3,744,459","2021/10/06 07:31:55 +02:00","1633498315","20997646.0037 RBTC"
"3,743,977","2021/10/06 03:21:10 +02:00","1633483270","20997643.1030 RBTC"
"3,743,820","2021/10/06 02:03:16 +02:00","1633478596","20997639.1030 RBTC"
"3,743,471","2021/10/05 23:00:50 +02:00","1633467650","20997670.1030 RBTC"
"3,742,871","2021/10/05 17:42:28 +02:00","1633448548","20997669.7530 RBTC"
"3,740,889","2021/10/05 00:34:05 +02:00","1633386845","20997670.3213 RBTC"
"3,740,306","2021/10/04 19:25:21 +02:00","1633368321","20997667.3213 RBTC"
"3,739,998","2021/10/04 16:42:24 +02:00","1633358544","20997664.3213 RBTC"
"3,739,931","2021/10/04 16:04:24 +02:00","1633356264","20997664.1813 RBTC"
"3,739,560","2021/10/04 12:51:01 +02:00","1633344661","20997664.5357 RBTC"
"3,739,503","2021/10/04 12:21:30 +02:00","1633342890","20997661.5357 RBTC"
"3,738,855","2021/10/04 06:42:39 +02:00","1633322559","20997668.5355 RBTC"
"3,738,544","2021/10/04 03:59:37 +02:00","1633312777","20997698.5355 RBTC"
"3,737,235","2021/10/03 16:42:38 +02:00","1633272158","20997698.3755 RBTC"
"3,737,095","2021/10/03 15:30:27 +02:00","1633267827","20997699.3755 RBTC"
"3,736,756","2021/10/03 12:39:04 +02:00","1633257544","20997699.3883 RBTC"
"3,736,701","2021/10/03 12:13:38 +02:00","1633256018","20997699.3993 RBTC"
"3,736,536","2021/10/03 10:54:13 +02:00","1633251253","20997696.3993 RBTC"
